date,time
2023-09-15,7.0
2023-09-16,8.0
2023-09-17,5.0
2023-09-18,3.0
2023-09-19,4.5
2023-09-20,4.0
2023-09-21,6.0
2023-09-22,9.0
2023-09-23,8.5
2023-09-24,8.0
2023-09-25,11.0
2023-09-26,7.0
2023-09-27,10.0
2023-09-28,9.5
2023-09-29,6.0
2023-09-30,10.0
2023-10-01,9.0
2023-10-02,8.5
2023-10-03,1.5
